tournament,team_name,team_tag,phase,patch,matchup_id,map_id,map_number,side,length,length_sec,winner,winner_side,ban_1,ban_2,ban_3,ban_4,ban_5,pick_1,pick_2,pick_3,pick_4,pick_5,baron_pick,jungle_pick,mid_pick,dragon_pick,sup_pick,baron_player,jungle_player,mid_player,dragon_player,sup_player,baron_kills,baron_deaths,baron_assists,baron_dmg_taken,baron_dmg_dealt,baron_total_gold,jungle_kills,jungle_deaths,jungle_assists,jungle_dmg_taken,jungle_dmg_dealt,jungle_total_gold,mid_kills,mid_deaths,mid_assists,mid_dmg_taken,mid_dmg_dealt,mid_total_gold,dragon_kills,dragon_deaths,dragon_assists,dragon_dmg_taken,dragon_dmg_dealt,dragon_total_gold,sup_kills,sup_deaths,sup_assists,sup_dmg_taken,sup_dmg_dealt,sup_total_gold
Scrim Aspira,Undefined Team,None,scrim,4.3c,3,7,2,blue,14:06,846,true,blue,Hecarim,Volibear,Wukong,Jayce,Aatrox,Yone,Sona,Lucian,Evelynn,Renekton,Renekton,Evelynn,Yone,Lucian,Sona,UNK Top,UNK Jungle,UNK Mid,UNK AdCarry,UNK Support,3,0,2,159742,13098,11866,5,0,7,5011,15720,12175,3,2,6,36153,17010,10190,9,1,7,28520,34760,13306,1,1,18,18080,9678,9364
Scrim Aspira,Team Aspira,ASP,scrim,4.3c,3,7,2,red,14:06,846,false,blue,Lee Sin,Yuumi,Aurelion Sol,Jax,Fiora,Camille,Galio,Ezreal,Karma,Shen,Camille,Shen,Karma,Ezreal,Galio,Pacheco,Aspira,Kimmyzoca,OMP,Pilo,1,3,1,90112,12514,9027,0,4,3,96175,9504,8788,2,5,1,77292,10097,8261,1,5,3,87948,18778,8637,0,4,4,0,0,7342
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,4,8,1,blue,14:12,852,true,blue,Fiora,Jayce,Jax,Zyra,Renekton,Volibear,Camille,Varus,Sett,Seraphine,Camille,Volibear,Seraphine,Varus,Sett,Pacheco,Aspira,Kimmyzoca,OMP,Pilo,1,0,9,17080,14824,9259,3,0,13,12615,13125,11015,4,0,11,5797,10780,10375,12,1,8,11352,23574,13995,2,1,18,0,0,8850
Scrim Aspira,Time Shiso,SHI,scrim,5.0a,4,8,1,red,14:12,852,false,blue,Hecarim,Thresh,Aurelion Sol,Syndra,Soraka,Zeri,Yuumi,Wukong,Orianna,Darius,Darius,Wukong,Orianna,Zeri,Yuumi,Shiso,Theyser,Wally,Oliver,Lunnarys,0,5,0,130392,11921,9588,0,7,2,144384,6484,7189,0,4,1,57300,14119,8936,1,3,1,68352,22940,9719,1,3,1,17856,5448,8150
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,5,9,1,blue,18:39,1119,true,blue,Evelynn,Aurelion Sol,Vladimir,Xayah,Varus,Volibear,Ezreal,Karma,Tryndamere,Alistar,Tryndamere,Volibear,Karma,Ezreal,Alistar,Pacheco,Aspira,Flyn,OMP,Pilo,2,2,3,50157,14628,14595,6,0,5,16149,23727,14215,1,1,7,15288,15468,12387,6,0,6,11024,37797,14477,1,0,8,16839,0,9243
Scrim Aspira,Team Shumas,SHU,scrim,5.0a,5,9,1,red,18:39,1119,false,blue,Hecarim,Ornn,,Nautilus,Jax,Morgana,Jayce,Shen,Camille,Sona,Camille,Shen,Jayce,Morgana,Sona,Darkzin,Orochi,Shumas,Yutails,Quartzo,0,4,1,143825,15682,11545,1,3,1,67840,9938,11669,2,4,1,90575,23254,14308,0,2,2,42588,15618,10287,0,3,1,67840,4875,8141
Scrim Aspira,Team Shumas,SHU,scrim,5.0a,5,10,2,blue,20:09,1209,true,blue,Volibear,Hecarim,Ezreal,Galio,Camille,Karma,Kha'Zix,Zeri,Braum,Sett,Sett,Kha'Zix,Karma,Zeri,Braum,Darkzin,Yutails,Shumas,Orochi,Quartzo,7,4,8,0,0,15416,6,2,9,0,0,14764,5,4,14,0,0,13498,10,3,11,0,0,168688,0,2,23,0,0,10276
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,5,10,2,red,20:09,1209,false,blue,Evelynn,Aurelion Sol,Vladimir,Dr. Mundo,Orianna,Lux,Sivir,Vi,Ornn,Zyra,Ornn,Vi,Lux,Sivir,Zyra,Pacheco,Aspira,Flyn,OMP,Pilo,1,4,5,0,0,11699,5,8,6,0,0,14071,3,5,7,0,0,13886,4,5,10,0,0,13776,2,6,11,0,0,10145
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,5,11,3,blue,17:16,1036,true,blue,Evelynn,Vladimir,Aurelion Sol,Sett,Kha'Zix,Ornn,Karma,Zeri,Olaf,Xin Zhao,Olaf,Xin Zhao,Karma,Zeri,Ornn,Pacheco,Aspira,Flyn,OMP,Pilo,5,4,2,0,0,12557,7,4,14,0,0,14927,2,2,16,0,0,12637,9,3,7,0,0,14593,2,3,17,0,0,10207
Scrim Aspira,Team Shumas,SHU,scrim,5.0a,5,11,3,red,17:16,1036,false,blue,Volibear,Hecarim,Ezreal,Shen,Camille,Braum,Orianna,Lucian,Vi,Yone,Yone,Vi,Orianna,Lucian,Braum,Darkzin,Yutails,Shumas,Orochi,Quartzo,9,4,2,0,0,14290,1,7,6,0,0,10437,2,3,9,0,0,12177,3,6,2,0,0,12495,1,5,8,0,0,7661
Scrim Aspira,Time Shiso,SHI,scrim,5.0a,6,12,1,blue,20:36,1236,false,red,Aurelion Sol,Diana,Vladimir,Soraka,Lulu,Volibear,Orianna,Ezreal,Irelia,Leona,Irelia,Volibear,Orianna,Ezreal,Leona,Shiso,Theyser,Wally,Oliver,Lunnarys,3,4,2,125300,27157,16297,0,5,4,190080,15236,12182,2,7,1,159232,17499,11653,3,3,1,66944,26614,15682,0,5,3,148608,5664,9504
Scrim Aspira,Team Emerok,EMK,scrim,5.0a,6,12,1,red,20:36,1236,true,red,Fiora,Jax,Jayce,Yuumi,Renekton,Hecarim,Syndra,Sivir,Nami,Garen,Garen,Hecarim,Syndra,Sivir,Nami,Júpiter Moba,Emerok,Sensou Henz,Noobzinha,Leite,5,4,2,114350,13559,12956,3,1,14,66552,23717,15578,11,2,8,38916,46221,17390,3,1,9,66552,24009,15169,2,0,17,10403,10647,11943
Scrim Aspira,Team Emerok,EMK,scrim,5.0a,6,13,2,blue,18:54,1134,true,blue,Fiora,Jax,Jayce,Yuumi,Renekton,Hecarim,Kai'Sa,Nami,Xayah,Garen,Garen,Hecarim,Kai'Sa,Xayah,Nami,Júpiter Moba,Emerok,Sensou Henz,Noobzinha,Riyuuka,5,4,6,21130,10881,12332,2,1,19,23928,15939,15586,16,3,6,17016,57090,19925,0,2,7,12984,13446,11888,1,1,18,10374,9842,10900
Scrim Aspira,Time Shiso,SHI,scrim,5.0a,6,13,2,red,18:54,1134,false,blue,Aurelion Sol,Vladimir,Diana,Syndra,Vex,Volibear,Ezreal,Twisted Fate,Karma,Darius,Darius,Volibear,Twisted Fate,Ezreal,Karma,Shiso,Theyser,Wally,Oliver,Lunnarys,1,3,2,31192,19751,12895,3,6,5,30107,11543,10804,1,5,4,12714,10950,10979,4,5,5,17334,27306,12279,2,5,6,15846,15881,10480
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,7,14,1,blue,17:11,1031,false,red,Yasuo,Vladimir,Aurelion Sol,Jax,Renekton,Volibear,Camille,Orianna,Varus,Nautilus,Camille,Volibear,Orianna,Varus,Nautilus,Pacheco,Aspira,Kimmyzoca,OMP,Pilo,2,6,1,0,0,10510,7,3,6,0,0,14147,2,3,4,0,0,11304,5,4,5,0,0,11610,0,5,11,0,0,8636
Scrim Aspira,Team Turzin,TUR,scrim,5.0a,7,14,1,red,17:11,1031,true,red,Ornn,Hecarim,Ezreal,Galio,Zeri,Darius,Karma,Diana,Sivir,Gwen,Darius,Diana,Gwen,Sivir,Karma,Turzin,Cake,UNK Support,Bruno Henning,Hanabi,4,5,6,0,0,11709,7,2,3,0,0,16798,4,3,8,0,0,14212,6,3,9,0,0,12864,0,3,16,0,0,9972
