tournament,matchup_id,map_id,map_number,patch,phase,team_name,team_tag,winner,length,length_sec,side,position,ban_rotation,ban,pick_rotation,pick,is_blind,role,player,kills,deaths,assists,dmg_dealt,dmg_taken,total_gold
Scrim Aspira,1,4,4,4.3c,scrim,Team Aspira,ASP,true,12:54,774,blue,5,2,Kai'Sa,B4/B5,Xin Zhao,true,jungle,Aspira,5,1,6,0,0,10088
Scrim Aspira,1,4,4,4.3c,scrim,Undefined Team,None,false,12:54,774,red,1,1,Hecarim,R1/R2,Ornn,false,baron,UNK Top,1,3,1,0,0,8133
Scrim Aspira,1,4,4,4.3c,scrim,Undefined Team,None,false,12:54,774,red,2,1,Wukong,R1/R2,Orianna,true,mid,UNK Mid,1,3,2,0,0,8818
Scrim Aspira,1,4,4,4.3c,scrim,Undefined Team,None,false,12:54,774,red,3,1,Gwen,R3,Lulu,false,sup,UNK Support,0,4,4,0,0,6337
Scrim Aspira,1,4,4,4.3c,scrim,Undefined Team,None,false,12:54,774,red,4,2,Vi,R4,Sivir,false,dragon,UNK AdCarry,0,4,1,0,0,8131
Scrim Aspira,1,4,4,4.3c,scrim,Undefined Team,None,false,12:54,774,red,5,2,Olaf,R5,Lee Sin,false,jungle,UNK Jungle,2,5,1,0,0,9180
Scrim Aspira,2,5,1,5.0a,scrim,Undefined Team,None,false,27:20,1640,blue,1,1,Vladimir,B1,Volibear,true,jungle,UNK Jungle,2,4,3,0,0,16484
Scrim Aspira,2,5,1,5.0a,scrim,Undefined Team,None,false,27:20,1640,blue,2,1,Diana,B2/B3,Zyra,false,mid,UNK Mid,2,4,2,0,0,20191
Scrim Aspira,2,5,1,5.0a,scrim,Undefined Team,None,false,27:20,1640,blue,3,1,Syndra,B2/B3,Sivir,true,dragon,UNK AdCarry,1,4,4,0,0,21441
Scrim Aspira,2,5,1,5.0a,scrim,Undefined Team,None,false,27:20,1640,blue,4,2,Kai'Sa,B4/B5,Sona,true,sup,UNK Support,0,6,3,0,0,11715
Scrim Aspira,2,5,1,5.0a,scrim,Undefined Team,None,false,27:20,1640,blue,5,2,Ezreal,B4/B5,Darius,false,baron,UNK Top,4,5,1,0,0,13972
Scrim Aspira,2,5,1,5.0a,scrim,Team Emerok,EMK,true,27:20,1640,red,1,1,Fiora,R1/R2,Aurelion Sol,true,mid,Sensou Henz,12,1,7,0,0,26792
Scrim Aspira,2,5,1,5.0a,scrim,Team Emerok,EMK,true,27:20,1640,red,2,1,Jax,R1/R2,Sett,true,baron,Júpiter Moba,3,4,9,0,0,16456
Scrim Aspira,2,5,1,5.0a,scrim,Team Emerok,EMK,true,27:20,1640,red,3,1,Jayce,R3,Lee Sin,false,jungle,Emerok,1,1,11,0,0,20814
Scrim Aspira,2,5,1,5.0a,scrim,Team Emerok,EMK,true,27:20,1640,red,4,2,Yuumi,R4,Soraka,false,sup,Riyuuka,1,1,17,0,0,13972
Scrim Aspira,2,5,1,5.0a,scrim,Team Emerok,EMK,true,27:20,1640,red,5,2,Lulu,R5,Xayah,false,dragon,Noobzinha,6,2,9,0,0,20191
Scrim Aspira,3,6,1,5.0a,scrim,Team Aspira,ASP,true,15:35,935,blue,1,1,Lee Sin,B1,Senna,true,dragon,OMP,4,0,20,0,0,11453
Scrim Aspira,3,6,1,5.0a,scrim,Team Aspira,ASP,true,15:35,935,blue,2,1,Aurelion Sol,B2/B3,Camille,true,baron,Pacheco,7,2,13,0,0,13498
Scrim Aspira,3,6,1,5.0a,scrim,Team Aspira,ASP,true,15:35,935,blue,3,1,Sett,B2/B3,Galio,false,sup,Pilo,10,3,13,0,0,14082
Scrim Aspira,3,6,1,5.0a,scrim,Team Aspira,ASP,true,15:35,935,blue,4,2,Nautilus,B4/B5,Karma,false,mid,Kimmyzoca,3,0,10,0,0,11550
Scrim Aspira,3,6,1,5.0a,scrim,Team Aspira,ASP,true,15:35,935,blue,5,2,Jax,B4/B5,Vi,true,jungle,Aspira,3,1,14,0,0,12680
Scrim Aspira,3,6,1,5.0a,scrim,Undefined Team,None,false,15:35,935,red,1,1,Hecarim,R1/R2,Gragas,true,sup,UNK Support,1,4,4,0,0,8674
Scrim Aspira,3,6,1,5.0a,scrim,Undefined Team,None,false,15:35,935,red,2,1,Volibear,R1/R2,Varus,false,dragon,UNK AdCarry,1,4,2,0,0,10094
Scrim Aspira,3,6,1,5.0a,scrim,Undefined Team,None,false,15:35,935,red,3,1,Nami,R3,Akali,true,mid,UNK Mid,0,5,1,0,0,9076
Scrim Aspira,3,6,1,5.0a,scrim,Undefined Team,None,false,15:35,935,red,4,2,Wukong,R4,Aatrox,false,baron,UNK Top,1,7,1,0,0,8819
Scrim Aspira,3,6,1,5.0a,scrim,Undefined Team,None,false,15:35,935,red,5,2,Zeri,R5,Xin Zhao,false,jungle,UNK Jungle,3,7,1,0,0,10750
Scrim Aspira,3,7,2,4.3c,scrim,Undefined Team,None,true,14:06,846,blue,1,1,Hecarim,B1,Yone,true,mid,UNK Mid,3,2,6,17010,36153,10190
Scrim Aspira,3,7,2,4.3c,scrim,Undefined Team,None,true,14:06,846,blue,2,1,Volibear,B2/B3,Sona,false,sup,UNK Support,1,1,18,9678,18080,9364
Scrim Aspira,3,7,2,4.3c,scrim,Undefined Team,None,true,14:06,846,blue,3,1,Wukong,B2/B3,Lucian,true,dragon,UNK AdCarry,9,1,7,34760,28520,13306
Scrim Aspira,3,7,2,4.3c,scrim,Undefined Team,None,true,14:06,846,blue,4,2,Jayce,B4/B5,Evelynn,true,jungle,UNK Jungle,5,0,7,15720,5011,12175
Scrim Aspira,3,7,2,4.3c,scrim,Undefined Team,None,true,14:06,846,blue,5,2,Aatrox,B4/B5,Renekton,false,baron,UNK Top,3,0,2,13098,159742,11866
Scrim Aspira,3,7,2,4.3c,scrim,Team Aspira,ASP,false,14:06,846,red,1,1,Lee Sin,R1/R2,Camille,true,baron,Pacheco,1,3,1,12514,90112,9027
Scrim Aspira,3,7,2,4.3c,scrim,Team Aspira,ASP,false,14:06,846,red,2,1,Yuumi,R1/R2,Galio,true,sup,Pilo,0,4,4,0,0,7342
Scrim Aspira,3,7,2,4.3c,scrim,Team Aspira,ASP,false,14:06,846,red,3,1,Aurelion Sol,R3,Ezreal,false,dragon,OMP,1,5,3,18778,87948,8637
Scrim Aspira,3,7,2,4.3c,scrim,Team Aspira,ASP,false,14:06,846,red,4,2,Jax,R4,Karma,false,mid,Kimmyzoca,2,5,1,10097,77292,8261
Scrim Aspira,3,7,2,4.3c,scrim,Team Aspira,ASP,false,14:06,846,red,5,2,Fiora,R5,Shen,false,jungle,Aspira,0,4,3,9504,96175,8788
Scrim Aspira,4,8,1,5.0a,scrim,Team Aspira,ASP,true,14:12,852,blue,1,1,Fiora,B1,Volibear,true,jungle,Aspira,3,0,13,13125,12615,11015
Scrim Aspira,4,8,1,5.0a,scrim,Team Aspira,ASP,true,14:12,852,blue,2,1,Jayce,B2/B3,Camille,true,baron,Pacheco,1,0,9,14824,17080,9259
Scrim Aspira,4,8,1,5.0a,scrim,Team Aspira,ASP,true,14:12,852,blue,3,1,Jax,B2/B3,Varus,false,dragon,OMP,12,1,8,23574,11352,13995
Scrim Aspira,4,8,1,5.0a,scrim,Team Aspira,ASP,true,14:12,852,blue,4,2,Zyra,B4/B5,Sett,false,sup,Pilo,2,1,18,0,0,8850
